,Relative_Date,Stock markets,Values
2257,-56,Values_BRA,1.11%
336,-55,Values_ARG,1.11%
720,-55,Values_FR,0.05%
1104,-55,Values_DE,0.05%
1488,-55,Values_ES,0.05%
1872,-55,Values_IT,0.05%
2256,-55,Values_BRA,0.05%
335,-54,Values_ARG,0.05%
719,-54,Values_FR,-1.32%
1103,-54,Values_DE,-1.32%
1487,-54,Values_ES,-1.32%
1871,-54,Values_IT,-1.32%
2255,-54,Values_BRA,-1.32%
334,-53,Values_ARG,0.57%
718,-53,Values_FR,-0.31%
1102,-53,Values_DE,0.31%
1486,-53,Values_ES,-0.31%
1870,-53,Values_IT,-1.23%
2254,-53,Values_BRA,-1.73%
333,-52,Values_ARG,3.02%
717,-52,Values_FR,-0.11%
1101,-52,Values_DE,-0.21%
