Date,Stock_ID,Stock_price
2022-11-17,MCD,259.5220642089844
2022-11-18,MCD,259.53155517578125
2022-11-21,MCD,260.6233215332031
2022-11-22,MCD,260.8511657714844
2022-11-23,MCD,259.4366455078125
2022-11-25,MCD,261.0789794921875
2022-11-28,MCD,259.0663146972656
2022-11-29,MCD,257.67071533203125
2022-11-30,MCD,260.439453125
2022-12-01,MCD,261.0218200683594
2022-12-02,MCD,261.0218200683594
2022-12-05,MCD,259.2937927246094
2022-12-06,MCD,259.4656066894531
2022-12-07,MCD,258.1003723144531
2022-12-08,MCD,261.0123291015625
2022-12-09,MCD,259.7234191894531
2022-12-12,MCD,264.0960998535156
2022-12-13,MCD,261.86199951171875
2022-12-14,MCD,262.1007080078125
2022-12-15,MCD,259.42742919921875
2022-12-16,MCD,254.07144165039062
2022-12-19,MCD,253.79457092285156
2022-12-20,MCD,255.15025329589844
2022-12-21,MCD,256.0190734863281
2022-12-22,MCD,253.73728942871094
2022-12-23,MCD,255.45582580566406
2022-12-27,MCD,254.7588348388672
2022-12-28,MCD,253.10714721679688
2022-12-29,MCD,253.89004516601562
2022-12-30,MCD,251.59872436523438
2022-11-01,QAT,18.999361038208008
2022-11-02,QAT,18.765687942504883
2022-11-03,QAT,18.918474197387695
2022-11-04,QAT,19.385820388793945
2022-11-07,QAT,19.268985748291016
2022-11-08,QAT,19.457717895507812
2022-11-09,QAT,19.367843627929688
2022-11-10,QAT,19.72734260559082
2022-11-11,QAT,19.94843101501465
2022-11-14,QAT,19.313920974731445
2022-11-15,QAT,19.304933547973633
2022-11-16,QAT,18.74771499633789
2022-11-17,QAT,18.801637649536133
2022-11-18,QAT,18.74591827392578
2022-11-21,QAT,18.334293365478516
2022-11-22,QAT,18.23723030090332
2022-11-23,QAT,18.325307846069336
2022-11-25,QAT,18.172521591186523
2022-11-28,QAT,17.97479820251465
