"MATCH_ID","SEASON","DATE_TIME","YEAR","HOME_TEAM","AWAY_TEAM","STADIUM","Cities","HOME_TEAM_SCORE","AWAY_TEAM_SCORE","Winner","PENALTY_SHOOT_OUT","ATTENDANCE"
"mt79","2021-2022","02-NOV-21 05.45.00.000000000 PM","2021","VfL Wolfsburg","RB Salzburg","Volkswagen Arena","Wolfsburg","2","1","Home","0","16112"
"mt80","2021-2022","02-NOV-21 08.00.00.000000000 PM","2021","Sevilla FC","Lille OSC","Ramón Sánchez Pizjuán","Sevilla","1","2","Away","0","29369"
"mt81","2021-2022","23-NOV-21 08.00.00.000000000 PM","2021","Lille OSC","RB Salzburg","Stade Pierre Mauroy","Villeneuve D’Ascq","1","0","Home","0","33573"
"mt82","2021-2022","23-NOV-21 08.00.00.000000000 PM","2021","Sevilla FC","VfL Wolfsburg","Ramón Sánchez Pizjuán","Sevilla","2","0","Home","0","28663"
"mt83","2021-2022","08-DEC-21 08.00.00.000000000 PM","2021","RB Salzburg","Sevilla FC","Red Bull Arena","Leipzig","1","0","Home","0","0"
"mt84","2021-2022","08-DEC-21 08.00.00.000000000 PM","2021","VfL Wolfsburg","Lille OSC","Volkswagen Arena","Wolfsburg","1","3","Away","0","6544"
"mt85","2021-2022","14-SEP-21 08.00.00.000000000 PM","2021","Chelsea FC","Zenit St. Petersburg","Stamford Bridge","London","1","0","Home","0","39252"
"mt86","2021-2022","14-SEP-21 08.00.00.000000000 PM","2021","Malmö FF","Juventus","Nya Malmö Stadion","Malmö","0","3","Away","0","5832"
"mt87","2021-2022","29-SEP-21 05.45.00.000000000 PM","2021","Zenit St. Petersburg","Malmö FF","Gazprom Arena","St. Petersburg","4","0","Home","0","15339"
"mt88","2021-2022","29-SEP-21 08.00.00.000000000 PM","2021","Juventus","Chelsea FC","Allianz Stadium","Turin","1","0","Home","0","19934"
"mt89","2021-2022","20-OCT-21 08.00.00.000000000 PM","2021","Zenit St. Petersburg","Juventus","Gazprom Arena","St. Petersburg","0","1","Away","0","18717"
"mt90","2021-2022","20-OCT-21 08.00.00.000000000 PM","2021","Chelsea FC","Malmö FF","Stamford Bridge","London","4","0","Home","0","39095"
"mt91","2021-2022","02-NOV-21 05.45.00.000000000 PM","2021","Malmö FF","Chelsea FC","Nya Malmö Stadion","Malmö","0","1","Away","0","19551"
"mt92","2021-2022","02-NOV-21 08.00.00.000000000 PM","2021","Juventus","Zenit St. Petersburg","Allianz Stadium","Turin","4","2","Home","0","20053"
"mt93","2021-2022","23-NOV-21 08.00.00.000000000 PM","2021","Chelsea FC","Juventus","Stamford Bridge","London","4","0","Home","0","39513"
"mt94","2021-2022","23-NOV-21 08.00.00.000000000 PM","2021","Malmö FF","Zenit St. Petersburg","Nya Malmö Stadion","Malmö","1","1","Draw","0","19551"
"mt95","2021-2022","08-DEC-21 05.45.00.000000000 PM","2021","Zenit St. Petersburg","Chelsea FC","Gazprom Arena","St. Petersburg","3","3","Draw","0","29349"
"mt96","2021-2022","08-DEC-21 05.45.00.000000000 PM","2021","Juventus","Malmö FF","Allianz Stadium","Turin","1","0","Home","0","17501"
"mt97","2021-2022","15-FEB-22 08.00.00.000000000 PM","2022","Sporting CP","Manchester City","Estádio José Alvalade","Lisbon","0","5","Away","0","48129"
"mt98","2021-2022","15-FEB-22 08.00.00.000000000 PM","2022","Paris Saint-Germain","Real Madrid","Parc des Princes","Paris","1","0","Home","0","47443"
"mt99","2021-2022","16-FEB-22 08.00.00.000000000 PM","2022","RB Salzburg","Bayern München","Red Bull Arena","Leipzig","1","1","Draw","0","29520"
"mt100","2021-2022","16-FEB-22 08.00.00.000000000 PM","2022","Inter","Liverpool FC","Giuseppe Meazza","Milan","0","2","Away","0","37918"
"mt101","2021-2022","22-FEB-22 08.00.00.000000000 PM","2022","Chelsea FC","Lille OSC","Stamford Bridge","London","2","0","Home","0","38832"
"mt102","2021-2022","22-FEB-22 08.00.00.000000000 PM","2022","Villarreal CF","Juventus","Estadio de la Cerámica","Villarreal","1","1","Draw","0","17686"
"mt103","2021-2022","23-FEB-22 08.00.00.000000000 PM","2022","SL Benfica","AFC Ajax","Estádio da Luz","Lisbon","2","2","Draw","0","54760"
"mt104","2021-2022","23-FEB-22 08.00.00.000000000 PM","2022","Atlético Madrid","Manchester United","Wanda Metropolitano","Madrid","1","1","Draw","0","63273"
"mt105","2021-2022","08-MAR-22 08.00.00.000000000 PM","2022","Bayern München","RB Salzburg","Allianz Arena","Munich","7","1","Home","0","25000"
"mt106","2021-2022","08-MAR-22 08.00.00.000000000 PM","2022","Liverpool FC","Inter","Anfield","Liverpool","0","1","Away","0","51747"
"mt107","2021-2022","09-MAR-22 08.00.00.000000000 PM","2022","Manchester City","Sporting CP","Etihad Stadium","Manchester","0","0","Draw","0","51213"
"mt108","2021-2022","09-MAR-22 08.00.00.000000000 PM","2022","Real Madrid","Paris Saint-Germain","Santiago Bernabéu","Madrid","3","1","Home","0","59895"
"mt109","2021-2022","15-MAR-22 08.00.00.000000000 PM","2022","AFC Ajax","SL Benfica","Johan Cruijff ArenA","Amsterdam","0","1","Away","0","54066"
"mt110","2021-2022","15-MAR-22 08.00.00.000000000 PM","2022","Manchester United","Atlético Madrid","Old Trafford","Manchester","0","1","Away","0","73008"
"mt111","2021-2022","16-MAR-22 08.00.00.000000000 PM","2022","Lille OSC","Chelsea FC","Stade Pierre Mauroy","Villeneuve D’Ascq","1","2","Away","0","49048"
"mt112","2021-2022","16-MAR-22 08.00.00.000000000 PM","2022","Juventus","Villarreal CF","Allianz Stadium","Turin","0","3","Away","0","30385"
"mt113","2021-2022","05-APR-22 08.00.00.000000000 PM","2022","Manchester City","Atlético Madrid","Etihad Stadium","Manchester","1","0","Home","0","52018"
"mt114","2021-2022","05-APR-22 08.00.00.000000000 PM","2022","SL Benfica","Liverpool FC","Estádio da Luz","Lisbon","1","3","Away","0","59633"
"mt115","2021-2022","06-APR-22 08.00.00.000000000 PM","2022","Chelsea FC","Real Madrid","Stamford Bridge","London","1","3","Away","0","38689"
"mt116","2021-2022","06-APR-22 08.00.00.000000000 PM","2022","Villarreal CF","Bayern München","Estadio de la Cerámica","Villarreal","1","0","Home","0","21626"
"mt117","2021-2022","12-APR-22 08.00.00.000000000 PM","2022","Real Madrid","Chelsea FC","Santiago Bernabéu","Madrid","2","3","Away","0","59839"
"mt118","2021-2022","12-APR-22 08.00.00.000000000 PM","2022","Bayern München","Villarreal CF","Allianz Arena","Munich","1","1","Draw","0","70000"
"mt119","2021-2022","13-APR-22 08.00.00.000000000 PM","2022","Atlético Madrid","Manchester City","Wanda Metropolitano","Madrid","0","0","Draw","0","65675"
"mt120","2021-2022","13-APR-22 08.00.00.000000000 PM","2022","Liverpool FC","SL Benfica","Anfield","Liverpool","3","3","Draw","0","51373"
"mt121","2021-2022","26-APR-22 08.00.00.000000000 PM","2022","Manchester City","Real Madrid","Etihad Stadium","Manchester","4","3","Home","0","55097"
"mt122","2021-2022","27-APR-22 08.00.00.000000000 PM","2022","Liverpool FC","Villarreal CF","Anfield","Liverpool","2","0","Home","0","51586"
"mt123","2021-2022","03-MAY-22 08.00.00.000000000 PM","2022","Villarreal CF","Liverpool FC","Estadio de la Cerámica","Villarreal","2","3","Away","0","23665"
"mt124","2021-2022","04-MAY-22 08.00.00.000000000 PM","2022","Real Madrid","Manchester City","Santiago Bernabéu","Madrid","3","1","Home","0","61416"
"mt125","2021-2022","28-MAY-22 08.35.00.000000000 PM","2022","Liverpool FC","Real Madrid","Stade de France","Paris - St. Denis","0","1","Away","0","0"
"mt126","2020-2021","21-OCT-20 05.55.00.000000000 PM","2020","RB Salzburg","Lokomotiv Moskva","Red Bull Arena","Leipzig","2","2","Draw","0","3000"
"mt127","2020-2021","21-OCT-20 08.00.00.000000000 PM","2020","Bayern München","Atlético Madrid","Allianz Arena","Munich","4","0","Home","0","0"
"mt128","2020-2021","27-OCT-20 05.55.00.000000000 PM","2020","Lokomotiv Moskva","Bayern München","RŽD-Arena","Moscow","1","2","Away","0","8196"
"mt129","2020-2021","27-OCT-20 08.00.00.000000000 PM","2020","Atlético Madrid","RB Salzburg","Wanda Metropolitano","Madrid","3","2","Home","0","0"
"mt130","2020-2021","03-NOV-20 05.55.00.000000000 PM","2020","Lokomotiv Moskva","Atlético Madrid","RŽD-Arena","Moscow","1","1","Draw","0","8147"
"mt131","2020-2021","03-NOV-20 08.00.00.000000000 PM","2020","RB Salzburg","Bayern München","Red Bull Arena","Leipzig","2","6","Away","0","0"
"mt132","2020-2021","25-NOV-20 08.00.00.000000000 PM","2020","Atlético Madrid","Lokomotiv Moskva","Wanda Metropolitano","Madrid","0","0","Draw","0","0"
"mt133","2020-2021","25-NOV-20 08.00.00.000000000 PM","2020","Bayern München","RB Salzburg","Allianz Arena","Munich","3","1","Home","0","0"
"mt134","2020-2021","01-DEC-20 05.55.00.000000000 PM","2020","Lokomotiv Moskva","RB Salzburg","RŽD-Arena","Moscow","1","3","Away","0","6759"
"mt135","2020-2021","01-DEC-20 08.00.00.000000000 PM","2020","Atlético Madrid","Bayern München","Wanda Metropolitano","Madrid","1","1","Draw","0","0"
"mt136","2020-2021","09-DEC-20 08.00.00.000000000 PM","2020","Bayern München","Lokomotiv Moskva","Allianz Arena","Munich","2","0","Home","0","0"
"mt137","2020-2021","09-DEC-20 08.00.00.000000000 PM","2020","RB Salzburg","Atlético Madrid","Red Bull Arena","Leipzig","0","2","Away","0","0"
"mt138","2020-2021","21-OCT-20 05.55.00.000000000 PM","2020","Real Madrid","Shakhtar Donetsk","Alfredo Di Stéfano","Madrid","2","3","Away","0","0"
"mt139","2020-2021","21-OCT-20 08.00.00.000000000 PM","2020","Inter","Bor. Mönchengladbach","Giuseppe Meazza","Milan","2","2","Draw","0","1000"
"mt140","2020-2021","27-OCT-20 05.55.00.000000000 PM","2020","Shakhtar Donetsk","Inter","Olimpiyskyi","Kyiv","0","0","Draw","0","10178"
"mt141","2020-2021","27-OCT-20 08.00.00.000000000 PM","2020","Bor. Mönchengladbach","Real Madrid","Borussia-Park","Mönchengladbach","2","2","Draw","0","0"
"mt142","2020-2021","03-NOV-20 05.55.00.000000000 PM","2020","Shakhtar Donetsk","Bor. Mönchengladbach","Olimpiyskyi","Kyiv","0","6","Away","0","0"
"mt143","2020-2021","03-NOV-20 08.00.00.000000000 PM","2020","Real Madrid","Inter","Alfredo Di Stéfano","Madrid","3","2","Home","0","0"
"mt144","2020-2021","25-NOV-20 05.55.00.000000000 PM","2020","Bor. Mönchengladbach","Shakhtar Donetsk","Borussia-Park","Mönchengladbach","4","0","Home","0","0"
