MATCH_ID,SEASON,DATE_TIME,YEAR,HOME_TEAM,AWAY_TEAM,STADIUM,name,HOME_TEAM_SCORE,AWAY_TEAM_SCORE,Winner,PENALTY_SHOOT_OUT,ATTENDANCE,lat,lng,country,admin1,admin2,Result,HomeWin,total_games,home_wins,home_win_percentage
mt30,2021-2022,19-OCT-21 08.00.00.000000000 PM,2021,AFC Ajax,Borussia Dortmund,Johan Cruijff ArenA,Amsterdam,4,0,Home,0,54029,52.37403,4.88969,NL,07,0363,Home win,True,16,7,43.75
mt31,2021-2022,03-NOV-21 08.00.00.000000000 PM,2021,Borussia Dortmund,AFC Ajax,Signal Iduna Park,Dortmund,1,3,Away,0,54820,51.51494,7.466,DE,07,059,Home loss,False,24,12,50.0
mt32,2021-2022,03-NOV-21 08.00.00.000000000 PM,2021,Sporting CP,Beşiktaş,Estádio José Alvalade,Lisbon,4,0,Home,0,40835,38.71667,-9.13333,PT,14,1106,Home win,True,35,12,34.285714285714285
mt34,2021-2022,24-NOV-21 08.00.00.000000000 PM,2021,Sporting CP,Borussia Dortmund,Estádio José Alvalade,Lisbon,3,1,Home,0,41341,38.71667,-9.13333,PT,14,1106,Home win,True,35,12,34.285714285714285
mt35,2021-2022,07-DEC-21 08.00.00.000000000 PM,2021,AFC Ajax,Sporting CP,Johan Cruijff ArenA,Amsterdam,4,2,Home,0,0,52.37403,4.88969,NL,07,0363,Home win,True,16,7,43.75
mt36,2021-2022,07-DEC-21 08.00.00.000000000 PM,2021,Borussia Dortmund,Beşiktaş,Signal Iduna Park,Dortmund,5,0,Home,0,15000,51.51494,7.466,DE,07,059,Home win,True,24,12,50.0
mt39,2021-2022,28-SEP-21 05.45.00.000000000 PM,2021,Shakhtar Donetsk,Inter,Olimpiyskyi,Kyiv,0,0,Draw,0,26170,50.45466,30.5238,UA,12,,Home loss,False,17,4,23.52941176470588
mt40,2021-2022,28-SEP-21 08.00.00.000000000 PM,2021,Real Madrid,FC Sheriff,Santiago Bernabéu,Madrid,1,2,Away,0,24522,40.4165,-3.70256,ES,29,M,Home loss,False,58,33,56.896551724137936
mt41,2021-2022,19-OCT-21 08.00.00.000000000 PM,2021,Shakhtar Donetsk,Real Madrid,Olimpiyskyi,Kyiv,0,5,Away,0,34037,50.45466,30.5238,UA,12,,Home loss,False,17,4,23.52941176470588
mt43,2021-2022,03-NOV-21 05.45.00.000000000 PM,2021,Real Madrid,Shakhtar Donetsk,Santiago Bernabéu,Madrid,2,1,Home,0,38105,40.4165,-3.70256,ES,29,M,Home win,True,58,33,56.896551724137936
mt47,2021-2022,07-DEC-21 08.00.00.000000000 PM,2021,Real Madrid,Inter,Santiago Bernabéu,Madrid,2,0,Home,0,46887,40.4165,-3.70256,ES,29,M,Home win,True,58,33,56.896551724137936
mt48,2021-2022,07-DEC-21 08.00.00.000000000 PM,2021,Shakhtar Donetsk,FC Sheriff,Olimpiyskyi,Kyiv,1,1,Draw,0,6841,50.45466,30.5238,UA,12,,Home loss,False,17,4,23.52941176470588
mt49,2021-2022,14-SEP-21 08.00.00.000000000 PM,2021,FC Barcelona,Bayern München,Spotify Camp Nou,Barcelona,0,3,Away,0,39737,41.38879,2.15899,ES,56,B,Home loss,False,27,20,74.07407407407408
mt50,2021-2022,14-SEP-21 08.00.00.000000000 PM,2021,Dinamo Kyiv,SL Benfica,Olimpiyskyi,Kyiv,0,0,Draw,0,21657,50.45466,30.5238,UA,12,,Home loss,False,17,4,23.52941176470588
