Relative_Date,Stock markets,Values
-96,Values_ES,-0.56
-96,Values_IT,-0.56
-96,Values_BRA,-0.56
-95,Values_ARG,0.05
-95,Values_FR,0.59
-95,Values_DE,-1.91
-95,Values_ES,-1.91
-95,Values_IT,0.93
-95,Values_BRA,-0.89
-94,Values_ARG,-1.22
-94,Values_FR,0.11
-94,Values_DE,-0.21
-94,Values_ES,0.84
-94,Values_IT,-0.63
-94,Values_BRA,2.1
-93,Values_ARG,2.66
-93,Values_FR,2.66
-93,Values_DE,0.16
-93,Values_ES,0.28
-93,Values_IT,1.05
-93,Values_BRA,-0.56
-92,Values_ARG,-1.35
-92,Values_FR,-1.35
-92,Values_DE,-0.54
-92,Values_ES,-1.03
-92,Values_IT,-0.09
-92,Values_BRA,-1.76
-91,Values_ARG,0.67
-91,Values_FR,-0.04
-91,Values_DE,-1.47
-91,Values_ES,2.87
-91,Values_IT,-1.08
-91,Values_BRA,-1.08
-90,Values_ARG,-1.08
-90,Values_FR,0.76
-90,Values_DE,0.76
-90,Values_ES,0.76
-90,Values_IT,0.76
-90,Values_BRA,0.76
-89,Values_ARG,0.76
-89,Values_FR,0.5
-89,Values_DE,0.5
-89,Values_ES,0.5
-89,Values_IT,0.5
-89,Values_BRA,0.5
-88,Values_ARG,3.1
-88,Values_FR,0.21
-88,Values_DE,0.26
-88,Values_ES,0.58
-88,Values_IT,1.33
-88,Values_BRA,2.04
-87,Values_ARG,-1.55
-87,Values_FR,0.39
-87,Values_DE,-1.77
-87,Values_ES,0
-87,Values_IT,-2.18
-87,Values_BRA,-1.71
-86,Values_ARG,-0.64
-86,Values_FR,-0.64
-86,Values_DE,1.57
-86,Values_ES,0.37
-86,Values_IT,0.22
-86,Values_BRA,-1.41
-85,Values_ARG,1.7
-85,Values_FR,1.7
-85,Values_DE,0.99
-85,Values_ES,0.17
-85,Values_IT,-0.17
-85,Values_BRA,2.12
-84,Values_ARG,-4.38
-84,Values_FR,0.48
-84,Values_DE,0.48
-84,Values_ES,-2.29
-84,Values_IT,0
-84,Values_BRA,-1.11
-83,Values_ARG,-1.11
-83,Values_FR,0.1
-83,Values_DE,0.1
-83,Values_ES,0.1
-83,Values_IT,0.1
-83,Values_BRA,0.1
-82,Values_ARG,0.1
-82,Values_FR,-0.57
-82,Values_DE,-0.57
-82,Values_ES,-0.57
-82,Values_IT,-0.57
-82,Values_BRA,-0.57
-81,Values_ARG,-3.35
-81,Values_FR,0.74
-81,Values_DE,0.74
-81,Values_ES,-0.53
-81,Values_IT,0
-81,Values_BRA,-0.65
-80,Values_ARG,-1.94
-80,Values_FR,0.54
-80,Values_DE,2.02
-80,Values_ES,0.95
-80,Values_IT,-0.44
-80,Values_BRA,0.56
-79,Values_ARG,1.88
-79,Values_FR,1.88
-79,Values_DE,-0.58
-79,Values_ES,-2.13
-79,Values_IT,1.43
-79,Values_BRA,1.65
-78,Values_ARG,-0.01
-78,Values_FR,-0.01
-78,Values_DE,0.05
-78,Values_ES,-2.19
-78,Values_IT,0.8
-78,Values_BRA,-0.53
-77,Values_ARG,0.8
-77,Values_FR,0.68
-77,Values_DE,-1.54
-77,Values_ES,0.89
-77,Values_IT,0.38
-77,Values_BRA,2.75
-75,Values_ARG,2.75
-75,Values_FR,0.16
-75,Values_DE,0.16
-75,Values_ES,0.16
-75,Values_IT,0.16
-75,Values_BRA,0.16
-74,Values_ARG,4.28
-74,Values_FR,-0.5
-74,Values_DE,0.48
-74,Values_ES,0.19
-74,Values_IT,-1.19
-74,Values_BRA,-2.35
-73,Values_ARG,-0.09
-73,Values_FR,0.26
-73,Values_DE,1.46
-73,Values_ES,-4.19
-73,Values_IT,0.11
-73,Values_BRA,0.75
-72,Values_ARG,1.24
-72,Values_FR,1.24
-72,Values_DE,0.2
-72,Values_ES,-2.99
-72,Values_IT,0.69
-72,Values_BRA,1.52
-71,Values_ARG,-1.42
-71,Values_FR,-1.42
-71,Values_DE,-1.42
-71,Values_ES,2.69
-71,Values_IT,-0.55
-71,Values_BRA,0.68
-70,Values_ARG,0.68
-70,Values_FR,0.28
-70,Values_DE,-0.49
-70,Values_ES,0.49
-70,Values_IT,-0.94
-70,Values_BRA,-1.04
-69,Values_ARG,-1.04
-69,Values_FR,-0.17
-69,Values_DE,-0.17
-69,Values_ES,-0.17
-69,Values_IT,-0.17
-69,Values_BRA,-0.17
-68,Values_ARG,-0.17
-68,Values_FR,0.23
-68,Values_DE,0.23
-68,Values_ES,0.23
-68,Values_IT,0.23
-68,Values_BRA,0.23
-67,Values_ARG,0.23
-67,Values_FR,0.2
-67,Values_DE,-0.28
-67,Values_ES,-0.66
-67,Values_IT,0
-67,Values_BRA,-2.03
-66,Values_ARG,-5.3
-66,Values_FR,-0.07
-66,Values_DE,-0.65
-66,Values_ES,-5.41
-66,Values_IT,1.06
-66,Values_BRA,-0.56
-65,Values_ARG,-0.43
-65,Values_FR,-0.43
-65,Values_DE,0.57
-65,Values_ES,-2.27
-65,Values_IT,-0.69
-65,Values_BRA,1.38
-64,Values_ARG,3.2
-64,Values_FR,3.2
-64,Values_DE,0.9
-64,Values_ES,-2.93
-64,Values_IT,0.6
-64,Values_BRA,-1.05
-63,Values_ARG,-2.47
-63,Values_FR,-0.02
-63,Values_DE,-0.27
-63,Values_ES,-3.28
-63,Values_IT,0.69
-63,Values_BRA,-1.46
-62,Values_ARG,-1.46
-62,Values_FR,0.23
-62,Values_DE,0.23
-62,Values_ES,0.23
-62,Values_IT,0.23
-62,Values_BRA,0.23
-61,Values_ARG,0.23
-61,Values_FR,0.26
-61,Values_DE,0.26
-61,Values_ES,0.26
-61,Values_IT,0.26
-61,Values_BRA,0.26
-60,Values_ARG,1.21
-60,Values_FR,0.98
-60,Values_DE,1.26
-60,Values_ES,14.43
