"YEAR","Cities"
"2018","Madrid"
"2018","Dortmund"
"2018","Madrid"
"2018","Madrid"
"2018","Barcelona"
"2018","Milan"
"2018","Barcelona"
"2018","London"
"2018","London"
"2018","Liverpool"
"2018","Paris"
"2018","Naples"
"2018","Liverpool"
"2018","Beograd"
"2018","Paris"
"2018","Naples"
"2018","Liverpool"
"2018","Istanbul"
"2018","Porto"
"2018","Porto"
"2018","Gelsenkirchen"
"2018","Moscow"
"2018","Porto"
"2018","Gelsenkirchen"
"2018","Amsterdam"
"2018","Amsterdam"
"2018","Munich"
"2018","Munich"
"2018","Lisbon"
"2018","Manchester"
"2018","Manchester"
"2018","Madrid"
"2018","Moscow"
"2018","Rome"
"2018","Rome"
"2018","Madrid"
"2018","Plzeň"
"2018","Turin"
"2018","Valencia"
"2018","Turin"
"2018","Manchester"
"2018","Valencia"
